City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Labuhan,ID,-6.8844,112.2051,82.99,73,100,9.26,light rain
259,Pisco,PE,-13.7,-76.2167,72.01,73,100,4.61,overcast clouds
260,Huangchuan,CN,32.1272,115.0394,44.67,62,2,4.25,clear sky
261,Diego De Almagro,CL,-26.3667,-70.05,61.9,59,0,2.62,clear sky
262,Deyang,CN,31.1302,104.382,44.24,66,91,0.25,overcast clouds
263,Avera,US,33.194,-82.5271,51.53,58,0,7.09,clear sky
264,Songkhla,TH,6.8333,100.6667,82.45,65,98,7.67,overcast clouds
265,San Matias,BO,-16.3667,-58.4,71.87,95,100,4.34,overcast clouds
266,Mandalgovi,MN,45.7625,106.2708,5.18,71,100,7.14,overcast clouds
267,Hithadhoo,MV,-0.6,73.0833,81.88,73,33,11.18,scattered clouds
268,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.47,97,100,10.18,overcast clouds
269,Puerto Montt,CL,-41.4698,-72.9447,56.23,67,100,19.57,overcast clouds
270,Belmonte,BR,-15.8631,-38.8828,77.5,86,6,6.6,clear sky
271,Natchez,US,31.5604,-91.4032,50.9,68,0,4.61,clear sky
272,Shangrao,CN,28.4532,117.9686,45.97,82,95,4.76,overcast clouds
273,Ishigaki,JP,24.3448,124.1572,68.13,88,75,16.11,broken clouds
274,Vila Velha,BR,-20.3297,-40.2925,75.15,87,75,8.05,broken clouds
275,Qasigiannguit,GL,68.8193,-51.1922,7.05,91,100,10.78,overcast clouds
276,Det Udom,TH,14.906,105.0784,90.25,45,37,4.94,scattered clouds
277,Paranaiba,BR,-19.6772,-51.1908,71.85,85,98,3.94,overcast clouds
278,Thunder Bay,CA,48.4001,-89.3168,17.58,69,100,13.8,overcast clouds
279,Sept-Iles,CA,50.2001,-66.3821,28.83,88,75,5.99,broken clouds
280,Panguna,PG,-6.3164,155.4848,78.3,78,68,3.42,moderate rain
281,Cockburn Town,TC,21.4612,-71.1419,77.88,75,0,18.9,clear sky
282,Saint Anthony,US,45.0205,-93.218,26.2,74,100,20.71,overcast clouds
283,Byron Bay,AU,-28.65,153.6167,86.11,51,0,9.66,clear sky
284,Ruteng,ID,-8.6136,120.4721,72.54,74,100,2.19,overcast clouds
285,Sibolga,ID,1.7427,98.7792,75.42,87,100,4.25,overcast clouds
286,Ancud,CL,-41.8697,-73.8203,52.43,72,92,10.71,overcast clouds
287,Ploemeur,FR,47.7333,-3.4333,47.82,88,100,5.75,overcast clouds
288,Bandarbeyla,SO,9.4942,50.8122,72.28,69,99,13.91,overcast clouds
289,Deputatskiy,RU,69.3,139.9,-23.96,85,78,6.2,broken clouds
290,Aswan,EG,24.0934,32.907,51.1,40,0,13.8,clear sky
291,Andenes,NO,69.3143,16.1194,33.78,75,20,14.97,few clouds
292,Hobyo,SO,5.3505,48.5268,75.78,72,100,20.11,overcast clouds
293,Mae Hong Son,TH,19.3003,97.9685,66.34,63,0,2.3,clear sky
294,Urucara,BR,-2.5364,-57.76,73.69,97,100,0.25,overcast clouds
295,Huarmey,PE,-10.0681,-78.1522,71.38,79,100,6.33,overcast clouds
296,Tual,ID,-5.6667,132.75,79.11,87,100,18.12,overcast clouds
297,Mandera,KE,3.9366,41.867,72.79,35,11,4.83,few clouds
298,Rassvet,RU,46.8333,40.75,31.21,96,95,11.18,overcast clouds
299,Sur,OM,22.5667,59.5289,67.01,63,2,2.28,clear sky
300,Maidens,GB,55.3338,-4.8147,39.24,77,66,22.39,broken clouds
301,Hue,VN,16.4667,107.6,69.91,94,75,5.75,mist
302,Luganville,VU,-15.5333,167.1667,85.24,68,100,5.91,overcast clouds
303,Lagoa,PT,39.05,-27.9833,58.48,68,0,16.37,clear sky
304,Panuco,MX,22.05,-98.1667,66.04,74,50,6.29,scattered clouds
305,Wukari,NG,7.85,9.7833,71.49,16,84,5.86,broken clouds
306,Bosobolo,CD,4.1833,19.9,71.89,31,83,3.04,broken clouds
307,Mafinga,TZ,-7.25,35.0667,64.72,96,100,2.35,light rain
